eclipse/capella-releng-parent	capella-releng-parent	public	2023-02-14T10:08:34Z
eclipse/upm	UPM is a high level repository that provides software drivers for a wide variety of commonly used sensors and actuators. These software drivers interact with the underlying hardware platform through calls to MRAA APIs.	public	2023-01-29T08:32:30Z
eclipse/.github	Community Health files	public	2023-01-18T18:52:32Z
eclipse/capella-cybersecurity	Darc Viewpoint (Cybersecurity Assets & Threats Modeling analysis)	public	2023-01-11T15:52:45Z
eclipse/kuksa.hardware		public	2023-01-11T11:09:20Z
eclipse/che-theia-samples		public, archived	2023-01-07T12:13:16Z
eclipse/n4js-tutorials	n4js-tutorials	public	2023-01-07T07:29:51Z
eclipse/gmf-runtime-website		public	2023-01-04T20:35:58Z
eclipse/diafanis	Diafanis project	public	2023-01-04T19:13:19Z
eclipse/theia-plugin-packager		public	2022-12-09T09:51:23Z
eclipse/theia-generator-plugin		public	2022-12-03T23:14:23Z
eclipse/theia-yeoman-plugin		public	2022-12-03T23:06:33Z
eclipse/january-website		public	2022-11-29T10:09:14Z
eclipse/capella-deferred-merge	Capella addon allowing to create patchset of model comparisons	public	2022-11-28T14:23:25Z
eclipse/n4js-website		public	2022-11-23T21:32:43Z
eclipse/texlipse	Eclipse Texlipse	public	2022-11-18T09:31:42Z
eclipse/orion.client	The Orion Client, "Your IDE in the Cloud"	public	2022-11-16T16:33:33Z
eclipse/unide		public	2022-11-16T07:43:29Z
eclipse/kuksa.apps	Kuksa Apps repo	public, archived	2022-11-09T13:29:46Z
eclipse/kuksa.ide	Kuksa IDE repo	public, archived	2022-11-09T13:27:58Z
eclipse/kuksa.invehicle	Kuksa Invehicle repo	public, archived	2022-11-09T13:27:15Z
eclipse/omr-website-publish		public	2022-10-27T20:53:43Z
eclipse/tools-website		public	2022-10-25T20:50:02Z
eclipse/rcptt-website		public	2022-10-24T20:21:39Z
eclipse/sisu-website		public	2022-10-13T08:25:52Z
eclipse/paho-website		public	2022-10-12T20:34:22Z
eclipse/vorto-website		public	2022-10-07T14:18:58Z
eclipse/amlen-website		public	2022-10-07T13:46:45Z
eclipse/paho.mqtt-spy	mqtt-spy is an open source desktop & command line utility intended to help you with monitoring activity on MQTT topics	public	2022-10-04T23:33:53Z
eclipse/ice	This project has moved to: https://gitlab.eclipse.org/eclipse/ice/ice	public	2022-10-04T15:25:54Z
eclipse/iottestware.coap	iottestware.coap	public	2022-09-22T11:16:41Z
eclipse/kuksa.cloud	Kuksa Cloud repo	public	2022-09-15T12:39:27Z
eclipse/kitalpha-website		public	2022-09-14T13:14:43Z
eclipse/wakaama-website		public	2022-09-09T19:47:39Z
eclipse/modisco-website		public	2022-09-06T20:23:10Z
eclipse/viatra-website		public	2022-09-02T14:03:27Z
